iter	Passed	Remaining
0	167	167045
1	167	83824
2	168	56059
3	169	42158
4	169	33815
5	171	28347
6	172	24414
7	173	21463
8	173	19143
9	174	17281
10	175	15760
11	176	14499
12	177	13470
13	178	12548
14	178	11750
15	179	11044
16	180	10425
17	180	9871
18	181	9377
19	182	8935
20	183	8536
21	183	8171
22	184	7836
23	185	7529
24	186	7281
25	187	7032
26	188	6796
27	189	6572
28	190	6372
29	191	6177
30	191	5994
31	192	5824
32	193	5663
33	193	5511
34	194	5368
35	195	5235
36	196	5106
37	196	4985
38	197	4871
39	198	4764
40	199	4661
41	200	4563
42	201	4476
43	202	4402
44	203	4322
45	205	4253
46	206	4177
47	206	4100
48	207	4026
49	208	3954
50	208	3886
51	209	3819
52	210	3756
53	210	3695
54	211	3637
55	212	3581
56	213	3527
57	213	3475
58	214	3425
59	215	3375
60	216	3333
61	217	3291
62	218	3254
63	219	3212
64	220	3170
65	221	3131
66	221	3091
67	222	3051
68	223	3015
69	224	2978
70	224	2943
71	225	2908
72	226	2875
73	227	2844
74	228	2812
75	228	2781
76	229	2751
77	230	2720
78	232	2707
79	233	2684
80	234	2664
81	236	2642
82	236	2613
83	237	2590
84	241	2597
85	242	2573
86	243	2550
87	243	2527
88	244	2504
89	245	2482
90	246	2460
91	248	2451
92	249	2432
93	250	2411
94	251	2396
95	252	2375
96	252	2354
97	253	2334
98	254	2314
99	255	2295
100	255	2277
101	256	2259
102	257	2241
103	258	2223
104	258	2206
105	259	2190
106	260	2175
107	262	2166
108	263	2152
109	264	2139
110	265	2124
111	265	2108
112	266	2094
113	267	2079
114	268	2065
115	269	2050
116	269	2034
117	270	2020
118	271	2007
119	271	1993
120	272	1980
121	273	1965
122	273	1952
123	274	1938
124	275	1925
125	275	1913
126	276	1901
127	278	1893
128	278	1883
129	279	1872
130	280	1860
131	281	1849
132	281	1838
133	282	1827
134	283	1815
135	284	1804
136	284	1793
137	285	1783
138	286	1772
139	286	1762
140	287	1752
141	288	1740
142	288	1730
143	289	1722
144	290	1713
145	292	1708
146	293	1702
147	294	1695
148	295	1686
149	295	1677
150	296	1668
151	297	1660
152	298	1651
153	298	1642
154	299	1633
155	300	1624
156	300	1615
157	301	1607
158	302	1599
159	303	1591
160	303	1581
161	304	1573
162	304	1565
163	305	1557
164	306	1551
165	307	1546
166	308	1539
167	309	1533
168	310	1526
169	311	1518
170	311	1511
171	312	1503
172	313	1496
173	313	1489
174	314	1482
175	315	1475
176	316	1471
177	317	1465
178	318	1459
179	319	1454
180	320	1449
181	321	1443
182	323	1444
183	324	1438
184	325	1433
185	326	1426
186	326	1420
187	327	1414
188	328	1408
189	328	1402
190	329	1397
191	330	1391
192	331	1385
193	331	1379
194	332	1373
195	333	1367
196	334	1361
197	334	1356
198	335	1350
199	336	1345
200	337	1341
201	338	1338
202	339	1333
203	340	1328
204	341	1323
205	342	1318
206	342	1312
207	343	1307
208	344	1303
209	345	1298
210	345	1293
211	346	1288
212	347	1283
213	348	1278
214	348	1273
215	349	1268
216	350	1264
217	351	1259
218	352	1258
219	353	1254
220	354	1250
221	355	1246
222	356	1241
223	357	1237
224	357	1232
225	358	1228
226	359	1223
227	359	1218
228	360	1214
229	361	1209
230	361	1204
231	362	1200
232	363	1195
233	363	1191
234	364	1187
235	365	1183
236	366	1178
237	367	1175
238	368	1173
239	369	1169
240	370	1166
241	371	1162
242	371	1158
243	372	1154
244	373	1150
245	374	1146
246	374	1142
247	375	1137
248	375	1133
249	376	1129
250	377	1125
251	377	1121
252	378	1118
253	379	1114
254	380	1110
255	380	1106
256	381	1103
257	383	1101
258	384	1101
259	386	1098
260	387	1096
261	388	1093
262	389	1090
263	389	1086
264	390	1083
265	391	1079
266	392	1076
267	392	1072
268	393	1069
269	394	1065
270	394	1062
271	395	1059
272	396	1055
273	398	1055
274	400	1054
275	400	1051
276	402	1049
277	402	1046
278	403	1043
279	404	1040
280	405	1037
281	406	1033
282	406	1030
283	407	1027
284	408	1023
285	408	1020
286	409	1017
287	410	1013
288	410	1010
289	411	1008
290	412	1006
291	414	1003
292	415	1001
293	415	998
294	416	995
295	417	992
296	418	989
297	418	986
298	419	983
299	420	980
300	421	977
301	421	974
302	422	971
303	423	968
304	423	965
305	424	962
306	425	959
307	426	957
308	426	954
309	427	952
310	428	950
311	429	947
312	430	944
313	431	942
314	432	939
315	432	937
316	433	934
317	434	931
318	435	928
319	435	926
320	436	923
321	437	921
322	438	918
323	439	916
324	440	914
325	440	911
326	441	909
327	442	907
328	443	904
329	444	902
330	445	900
331	446	898
332	447	895
333	448	893
334	448	890
335	449	888
336	450	885
337	451	883
338	451	881
339	452	878
340	453	877
341	454	874
342	455	872
343	456	869
344	459	873
345	460	871
346	461	868
347	462	866
348	463	864
349	464	861
350	464	859
351	465	856
352	466	854
353	467	852
354	467	850
355	468	847
356	469	845
357	470	843
358	470	840
359	471	838
360	473	837
361	474	836
362	475	833
363	476	831
364	476	829
365	477	827
366	478	825
367	479	822
368	479	820
369	480	818
370	481	816
371	482	814
372	483	811
373	483	809
374	484	807
375	485	805
376	485	803
377	486	800
378	487	798
379	488	797
380	489	795
381	490	794
382	491	792
383	492	790
384	493	788
385	494	786
386	494	783
387	495	782
388	496	779
389	497	777
390	498	775
391	498	773
392	499	771
393	500	769
394	500	767
395	501	765
396	502	763
397	503	761
398	504	759
399	505	758
400	506	756
401	507	754
402	507	752
403	508	750
404	509	748
405	510	746
406	510	744
407	511	742
408	512	740
409	513	738
410	513	736
411	514	734
412	515	732
413	515	730
414	516	728
415	517	726
416	518	725
417	520	724
418	520	722
419	521	720
420	522	719
421	523	716
422	524	715
423	524	713
424	525	711
425	526	709
426	526	707
427	527	705
428	528	703
429	528	701
430	529	699
431	530	697
432	531	695
433	531	693
434	532	691
435	533	690
436	534	688
437	535	687
438	536	685
439	536	683
440	537	681
441	538	679
442	538	677
443	539	675
444	540	673
445	541	672
446	541	670
447	542	668
448	543	667
449	544	665
450	545	663
451	545	661
452	546	660
453	547	658
454	548	657
455	549	655
456	550	654
457	551	652
458	552	651
459	553	649
460	553	647
461	554	646
462	555	644
463	556	642
464	556	640
465	557	639
466	558	637
467	559	635
468	559	633
469	560	631
470	561	630
471	561	628
472	562	626
473	563	625
474	564	624
475	565	622
476	566	621
477	567	619
478	568	618
479	569	616
480	569	614
481	570	613
482	571	611
483	571	609
484	572	607
485	573	606
486	573	604
487	574	602
488	575	600
489	575	599
490	576	597
491	577	596
492	578	594
493	579	593
494	580	592
495	581	590
496	581	589
497	582	587
498	583	585
499	584	584
500	584	582
501	585	580
502	586	579
503	586	577
504	587	575
505	587	573
506	588	572
507	589	570
508	589	569
509	590	567
510	591	565
511	592	564
512	592	562
513	593	561
514	594	560
515	595	558
516	596	557
517	597	555
518	597	553
519	598	552
520	599	550
521	599	549
522	600	547
523	600	545
524	601	544
525	602	542
526	603	541
527	603	539
528	604	538
529	605	536
530	605	535
531	607	534
532	607	532
533	608	531
534	609	529
535	610	528
536	611	526
537	611	525
538	612	523
539	613	522
540	613	520
541	614	519
542	615	518
543	616	516
544	617	515
545	618	514
546	619	512
547	619	511
548	620	509
549	621	508
550	621	506
551	622	505
552	623	503
553	623	502
554	624	500
555	625	499
556	625	497
557	626	496
558	627	494
559	627	493
560	628	491
561	629	490
562	629	488
563	630	487
564	631	486
565	632	485
566	633	483
567	634	482
568	634	480
569	635	479
570	636	478
571	636	476
572	637	475
573	638	473
574	639	472
575	639	470
576	640	469
577	641	468
578	641	466
579	642	465
580	643	463
581	643	462
582	644	460
583	645	459
584	646	458
585	647	457
586	648	456
587	649	454
588	649	453
589	650	451
590	651	450
591	651	449
592	652	447
593	653	446
594	653	445
595	654	443
596	655	442
597	655	440
598	656	439
599	657	438
600	657	436
601	658	435
602	659	433
603	659	432
604	660	431
605	661	430
606	662	428
607	663	427
608	663	426
609	664	424
610	665	423
611	666	422
612	667	421
613	668	419
614	668	418
615	669	417
616	670	416
617	671	414
618	671	413
619	672	412
620	673	411
621	674	409
622	674	408
623	676	407
624	677	406
625	678	405
626	679	404
627	680	403
628	681	401
629	681	400
630	682	399
631	683	398
632	684	396
633	685	395
634	685	394
635	686	392
636	687	391
637	688	390
638	689	389
639	689	388
640	690	386
641	692	386
642	693	384
643	693	383
644	694	382
645	695	381
646	696	379
647	696	378
648	697	377
649	698	376
650	699	374
651	699	373
652	700	372
653	701	371
654	702	369
655	702	368
656	703	367
657	704	366
658	705	364
659	705	363
660	707	362
661	708	361
662	709	360
663	709	359
664	710	358
665	711	356
666	712	355
667	712	354
668	713	353
669	714	351
670	715	350
671	715	349
672	716	348
673	717	346
674	717	345
675	718	344
676	719	343
677	720	342
678	721	340
679	722	339
680	723	338
681	723	337
682	724	336
683	725	335
684	726	333
685	727	332
686	727	331
687	728	330
688	729	329
689	730	328
690	731	326
691	731	325
692	732	324
693	733	323
694	734	322
695	735	321
696	736	319
697	738	319
698	738	318
699	739	317
700	740	315
701	741	314
702	741	313
703	742	312
704	743	311
705	744	309
706	744	308
707	745	307
708	746	306
709	746	305
710	747	303
711	748	302
712	749	301
713	750	300
714	750	299
715	751	298
716	752	297
717	753	296
718	754	294
719	755	293
720	756	292
721	756	291
722	757	290
723	758	289
724	759	287
725	759	286
726	760	285
727	761	284
728	761	283
729	762	282
730	763	280
731	763	279
732	764	278
733	765	277
734	765	276
735	766	274
736	767	273
737	768	272
738	769	271
739	769	270
740	770	269
741	771	268
742	771	266
743	772	265
744	773	264
745	773	263
746	774	262
747	775	261
748	775	260
749	776	258
750	777	257
751	778	256
752	778	255
753	779	254
754	780	253
755	780	252
756	781	250
757	782	249
758	783	248
759	784	247
760	785	246
761	785	245
762	786	244
763	787	243
764	787	241
765	788	240
766	788	239
767	789	238
768	790	237
769	790	236
770	791	235
771	792	233
772	792	232
773	793	231
774	794	230
775	795	229
776	796	228
777	796	227
778	797	226
779	798	225
780	799	224
781	800	223
782	800	221
783	801	220
784	802	219
785	802	218
786	803	217
787	803	216
788	804	215
789	805	214
790	806	212
791	806	211
792	807	210
793	808	209
794	808	208
795	809	207
796	810	206
797	811	205
798	811	204
799	812	203
800	813	202
801	814	201
802	815	199
803	815	198
804	816	197
805	816	196
806	817	195
807	818	194
808	819	193
809	819	192
810	820	191
811	821	190
812	822	189
813	822	188
814	823	186
815	824	185
816	824	184
817	825	183
818	826	182
819	826	181
820	827	180
821	828	179
822	829	178
823	830	177
824	831	176
825	831	175
826	832	174
827	833	173
828	834	172
829	835	171
830	835	169
831	836	168
832	837	167
833	837	166
834	838	165
835	839	164
836	839	163
837	840	162
838	841	161
839	841	160
840	842	159
841	843	158
842	844	157
843	845	156
844	846	155
845	846	154
846	847	153
847	848	152
848	848	150
849	849	149
850	850	148
851	850	147
852	851	146
853	852	145
854	853	144
855	853	143
856	854	142
857	854	141
858	855	140
859	856	139
860	856	138
861	857	137
862	858	136
863	859	135
864	860	134
865	860	133
866	861	132
867	862	131
868	862	130
869	863	129
870	864	127
871	864	126
872	865	125
873	866	124
874	867	123
875	867	122
876	868	121
877	869	120
878	869	119
879	870	118
880	871	117
881	872	116
882	872	115
883	874	114
884	874	113
885	875	112
886	876	111
887	876	110
888	877	109
889	878	108
890	879	107
891	879	106
892	880	105
893	881	104
894	881	103
895	882	102
896	882	101
897	883	100
898	884	99
899	884	98
900	885	97
901	886	96
902	886	95
903	887	94
904	888	93
905	889	92
906	890	91
907	891	90
908	892	89
909	892	88
910	893	87
911	894	86
912	895	85
913	895	84
914	896	83
915	897	82
916	897	81
917	898	80
918	899	79
919	899	78
920	900	77
921	901	76
922	901	75
923	902	74
924	903	73
925	904	72
926	905	71
927	906	70
928	906	69
929	907	68
930	908	67
931	908	66
932	909	65
933	910	64
934	910	63
935	911	62
936	912	61
937	912	60
938	913	59
939	913	58
940	914	57
941	915	56
942	915	55
943	916	54
944	917	53
945	917	52
946	918	51
947	919	50
948	920	49
949	920	48
950	921	47
951	922	46
952	922	45
953	923	44
954	924	43
955	924	42
956	925	41
957	926	40
958	926	39
959	927	38
960	928	37
961	928	36
962	929	35
963	929	34
964	930	33
965	931	32
966	931	31
967	932	30
968	933	29
969	933	28
970	934	27
971	935	26
972	936	25
973	937	25
974	937	24
975	938	23
976	939	22
977	939	21
978	940	20
979	941	19
980	941	18
981	942	17
982	943	16
983	943	15
984	944	14
985	945	13
986	946	12
987	947	11
988	947	10
989	948	9
990	949	8
991	950	7
992	951	6
993	951	5
994	952	4
995	953	3
996	953	2
997	954	1
998	955	0
999	955	0
